,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7
1,0.85,0.8,0.775,0.85,0.875,0.775,0.825
2,0.95,0.8,0.775,0.825,0.85,0.675,0.8
3,0.875,0.75,0.8,0.775,0.875,0.825,0.875
4,0.9,0.8,0.85,0.675,0.925,0.775,0.8
5,0.825,0.825,0.825,0.725,0.9,0.85,0.85
6,0.85,0.85,0.825,0.7,0.9,0.8,0.85
7,0.8,0.8,0.775,0.75,0.875,0.85,0.85
8,0.85,0.825,0.775,0.725,0.775,0.8,0.825
9,0.775,0.775,0.775,0.75,0.75,0.775,0.825
10,0.75,0.775,0.8,0.75,0.8,0.775,0.85
11,0.725,0.75,0.7,0.75,0.75,0.75,0.825
12,0.7,0.75,0.825,0.8,0.75,0.725,0.825
13,0.675,0.75,0.775,0.775,0.75,0.775,0.825
14,0.7,0.775,0.775,0.725,0.675,0.725,0.775
15,0.675,0.725,0.7,0.725,0.7,0.775,0.825
16,0.725,0.775,0.7,0.775,0.7,0.8,0.8
17,0.6,0.7,0.675,0.75,0.675,0.8,0.8
18,0.625,0.675,0.65,0.775,0.675,0.8,0.75
19,0.625,0.675,0.65,0.775,0.7,0.8,0.725
20,0.625,0.675,0.7,0.75,0.725,0.75,0.75
21,0.6,0.65,0.625,0.75,0.7,0.675,0.725
22,0.6,0.65,0.625,0.825,0.725,0.7,0.75
23,0.625,0.625,0.625,0.8,0.7,0.7,0.675
24,0.65,0.625,0.625,0.75,0.7,0.675,0.675
25,0.625,0.625,0.625,0.8,0.7,0.65,0.675
26,0.625,0.625,0.6,0.85,0.7,0.65,0.675
27,0.6,0.625,0.6,0.75,0.7,0.675,0.675
28,0.6,0.625,0.625,0.775,0.7,0.675,0.7
29,0.6,0.625,0.575,0.75,0.7,0.675,0.675
30,0.6,0.625,0.575,0.675,0.7,0.675,0.7
31,0.625,0.625,0.55,0.675,0.7,0.675,0.675
32,0.6,0.625,0.55,0.75,0.7,0.675,0.675
33,0.575,0.625,0.575,0.7,0.7,0.675,0.675
34,0.575,0.625,0.575,0.725,0.7,0.65,0.65
35,0.55,0.625,0.575,0.725,0.7,0.65,0.675
36,0.55,0.625,0.6,0.725,0.7,0.65,0.65
37,0.55,0.625,0.6,0.7,0.7,0.625,0.65
38,0.55,0.625,0.6,0.7,0.7,0.65,0.65
39,0.55,0.6,0.6,0.7,0.7,0.625,0.65
40,0.55,0.625,0.6,0.7,0.7,0.65,0.65
41,0.575,0.625,0.6,0.7,0.675,0.675,0.65
42,0.55,0.625,0.6,0.675,0.7,0.7,0.65
43,0.55,0.6,0.575,0.7,0.65,0.675,0.65
44,0.55,0.6,0.6,0.7,0.65,0.725,0.65
45,0.55,0.6,0.6,0.725,0.65,0.7,0.65
46,0.55,0.6,0.6,0.775,0.65,0.675,0.65
47,0.55,0.6,0.575,0.7,0.65,0.675,0.675
48,0.55,0.6,0.575,0.725,0.65,0.675,0.675
49,0.55,0.6,0.575,0.7,0.65,0.675,0.675
50,0.55,0.6,0.575,0.7,0.65,0.65,0.675
